claim,label_binary,user
"Claim  A post doing rounds on social media reads: * WORLD HEALTH ORGANISATION PROTOCOL&PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING ON MOST DANGEROUS VIRUS* STEP 1 – 1 DAY. STEP 2- 21 DAYS. AFTER 5 DAYS. STEP 3- 28 DAYS. AFTER 5 DAYS. STEP 4 – 15 DAYS. The sameway, our Indian governments are follow: MAR22-1 DAY ( TRIAL LOCKDOWN) MAR24-APR14 – 21 DAYS(FIRST LOCKDOWN) APRIL15- APRIL19 – RELAX FROM LOCKDOWN. APR20 – MAY 18 – 28DAYS(SECOND LOCKDOWN) *INCASE,Covid19 patient ratio is Zero* Withdraw the LOCKDOWN. Otherwise, May19 – May 24 – Relax from LOCKDOWN. May 25 – June 10 – 15 days (FINAL LOCKDOWN).   The archived version of the post can be checked  here .   ",fake,Riya Gupta
"Claim  The text on the picture read: “आ गए आपनी असलियत पे, भक्तो मार जाओ अब कहि जाके”, which translates to: “He has shown his real self, Bhakts, go and die somewhere now.” The post has been shared over 1,400 times and was liked by over 8,500 Facebook users.",real,Neha Agarwal
"Claim  A viral post on Facebook shared by a user named Gbenga Fasole GSc reads: “ GOOD NEWS FOR CANCER PATIENTS THE CURE IS HERE WILD AUBERGINE (a sought-after plant, a wealth to preserve). Breast cancer control, Fight against prostate cancer, Stomach cancer control, Fight against liver cancer, Fight against kidney cancer, In short, fight against all types of cancer, Asthma control. Look for this wild aubergine (the fruits of course, they are small) in sufficient quantity to cook in about 5 liters of water. Drink a glass of morning beer and one at night. Your cancer will disappear. Crush, whether it is the fruit or the leaf, and pass over the cancerous breast. Anyone who has his external cancer, and who even sores, and even if the rotten wound, crush that wild eggplant or it’s leaves and pass over the wound while drinking the decoction. It will kill cancer outright. Nb: Use enough until at least a month. Do not use once or twice and then stop. Drink the decoction, use the crush on the cancerous breast or the cancerous part externally. Destroys any form of cancer in the human body. The wild eggplant is found in bush to pick. If you do not have bush in your locality because you are in town, go to the village and look for it. Finish with cancer. Good healing to all. Many herbalists testifies of using my remedies to treat all kind of sicknesses .”  ",fake,Manav Sharma
"CLAIM  A large number of people in the video can be seen with swords. The description is: “The biggest procession in Agra in support of Tabaraz Ansari, you have to say Allah Hu Akbar if you want to stay in India, Dalit Muslims come together for the procession.”     https://www.facebook.com/197422351038187/videos/452591788899567/?v=452591788899567",real,Vikram Das
"claim1: A post doing rounds on social media claims that a simple ‘self-check test’ can determine whether you have coronavirus. The viral post claims that if you take a deep breath and you are able to hold it for more than 10 seconds successfully without discomfort, stuffiness or tightness, then there is no fibrosis in your lungs indicating you don’t have coronavirus infection.
claim2: A viral post on social media claims that the juice of bitter guard can effectively treat novel coronavirus in 2 hours. The post also mentions the name of the Health Department of Bihar purporting the information to be released by them. 
claim3: A post getting viral on social media claims that turmeric and lemon help fight against coronavirus. 
claim4:  A post shared on social media claims that consuming large doses of Vitamin C can slow down or stop the spread of coronavirus.
claim5: A viral post on social media claims that coronavirus remains in the throat for four days before it reaches the lungs. It further states that if the infected person drinks a lot of water and gargles with warm water & salt or vinegar it eliminates the virus.
claim6: A viral post on social media claims that coronavirus dies at a temperature above 26 – 27 degrees Celcius. It further states that drinking hot water and sun exposure will do the trick. Staying away from icecream and cold drink is also advised in the viral post. The message in the viral post mentions UNICEF as its source of information.
",fake,Ananya Mehta
"Claim  The post doing rounds on social media reads: “ IN ISRAEL NO DEATH FROM C-19 ! He told them a super news … This is how it arrived and this is how I send it. The cure for the C19 virus or the way to eliminate it was achieved. Information comes from Israel there this virus did not cause any death. The recipe is simple. 1. Lemon, 2 Bicarbonate. Mix and drink as hot tea every afternoon, the action of the lemon with hotter baking soda immediately kills the virus completely eliminates it from the body. These two components alkalize the immune system, since when night falls the system becomes acidic and defenses lower. That is why the People of Israel is relaxed about this virus. Everyone in Israel drinks a cup of hot water with lemon and a little baking soda at night, as this is proven to kill the virus. I share it with all my family and friends so that none of us get the virus. I leave it to your criteria. Please pass this immediately .” The archived version of the post can be checked  here .  ",fake,Divya Fernandes
"Claim:   The Facebook post claims that Dr. Badwe, Director, Tata Memorial Hospital clarified that hot coconut water kills cancer. The post further claimed that hot Coconut water releases an anti-cancer substance and hot coconut juice has an effect on cysts and tumors.   The post reads:    ",fake,Pooja Nair
"CLAIM  In the viral video, two men can be seen beating a woman and forcing a girl into a tractor.   The video description reads, “Hindu women in Pakistan are being forcefully taken away and beaten. All Hindus should share it so that the world and those Hindus who are opposing NRC and CAA And are supporting the Congress understand its importance. “  See archive version of this post  here .",real,Varun Trivedi
"Claim  A viral video on social media is shared with a caption that reads:  3 दाने खाने से 72 घंटे में हो जाता है लास्ट स्टेज कैंसर भी जड़ से खत्म | canser ka ilaaj . (English:  Eating 3 grains can cure last stage cancer in 72 hours ). In the viral video, it has been claimed that last stage cancer can be cured in 72 hours by consuming a home-made mixture made of walnut, sprouted grains, honey, garlic, and lemon. As per the video, the mixture needs to be stored in the fridge and eaten multiple times a day.   The video has 107,733 views on Youtube so far.   ",real,Anjali Mishra
"Claim  The viral post on social media shows the photo of a label of a Dettol product. The circled text shows the different microbes Dettol is able to kill, which includes the name of Coronavirus as well. The post caption states: “ This kills coronavirus how did they know about it in 2019 ??”   ",fake,Divya Kaur
"Claim  In the viral picture, a packet of Parle G Biscuits with awoman can be seen. It is being claimed in the post that the female present inthe picture is Parle-G Girl. The photo reads “Remember Parle-G biscuitgirl, Neru Deshpande, now 64 years old, is the girl who was clicked for Parle-Gbiscuit when she was 4 years old.”",real,Siddharth Menon
Claim  The viral post on social media reads:   “ GOOD NEWS! Jio and Facebook are giving 25GB Data Daily for 6 months to all Jio users due to lockdown of COVID-19. Download this app now: http://tiny.cc/psbmnz. ” The archived version of the post can be checked  here .  ,fake,Neha Rana
Claim  The post shared by a Facebook user Dilip Singh shows some people sitting on the floor with some weapons. The caption in the post states that the weapons have been seized from a mosque in Gujarat. The photo is getting viral with a false claim.    ,real,Aditya Verma
"Claim:  The viral image on Facebook shows Ambedkar’s photo on American note of 100 dollars. The photo is supported by a claim, “The work that should have been done in India has been done by Americans- It’s a real respect.” The Facebook post has been shared by a user named ‘Ajay Pratap Gaur Basti’. The viral photo has 135 shares and around 905 reactions.   ",fake,Nandini Reddy
"Claim  The post shared on Facebook states that consuming a decoction made from wheat, barley, back seeds and gum for two weeks can cure diabetes. The message is attributed to two doctors, Dr. Anita Simmons and Dr. Tony Almeida.  ",fake,Kavya Choudhary
"Claim  A post is doing rounds on Facebook claiming that lime can cure over 70 diseases. If lime is mixed in water and one spoon of it is taken with food, it can be a good source of calcium. The post is widely shared on social media.  ",fake,Karan Bhatt
"Claim  Facebook page “Punjabi Mandeer” shared a video in which England’s Prime Minister Boris Johnson can be seen shopping in a shop. The post descriptions says: UK ਦਾ ਪ੍ਰਧਾਨਮੰਤਰੀ ਸਾਈਕਲ ਤੇ ਸ਼ੋਪਿੰਗ ਕਰਨ ਆਇਆ ਆਪਣੇ ਵਾਲਾ ਏਦਾ ਕਰਕੇ ਦਿਖਾਵੇ” English Translation” Prime minister of UK came as a common citizen for shopping, ours cannot.” Here’s the  archived link  of the viral post.",real,Varun Nair
"Claim  The viral post comprises of 4 photos along with a descriptionthat roughly translates to “Melbourne, Australia: A man named Filipino wasso inspired by Narendra Modi that he named his apple company after his name,these apples will soon be available in India”.  The post claims 2 things  1) Australian man named his company ‘Modi Apple’ after the name of Indian Prime Minister.  2) These apples will soon be available in India too.",real,Ishita Das
CLAIM  A video is going viral where some people can be seen pouringsalt in plastic bags. Tata Salt can be seen inscribed on these plastic bags.The claim is “Look at the Tata salt manufacturing.”,real,Riya Pillai
"Claim:   A photo is doing rounds with a claim that reads: “ Warning! If you see that your fruit contains red weird colour in it, don’t eat it because a group of people is injecting fruits with blood containing HIV and AIDS. With the aim of killing millions of people around the world. That is Satanism. Please share this post and save others.”  The photo is supported with two images; one showing banana being injected with red-colored fluid and other showing peeled banana with red color inside. The image has been shared by the Facebook page ‘ Spiritual Warfare and Tactics Squad- SWATS ‘.   ",fake,Karan Verma
Claim  A photo of a tree is circulating on social media with a claim that the largest Tulsi tree of the world has been found in Karnataka.    ,fake,Ananya Nair
"On Facebook, a user named YogendraYogendra shared a video on February 14 in which police can be seenlathi-charging people. In the video, a Congress banner can be seen with thephotos of Sonia Gandhi and Rahul Gandhi. The banner reads “Time for change.. District Congress Committee Bilaspur”. The video description reads as “कांग्रेस मीटिंग में कांग्रेसी नेताओंने लगाएनारे “पाकिस्तान जिंदाबाद” ठीक उसी पल उन कांग्रेसी नेताओंके बंदोबस्तमें लगी पुलिस ने निभाया देश भक्त का कर्तव्य कांग्रेस मीटिंग में घुस कर सबकांग्रेसी कुत्तों की कर दी धुलाई अब जो भी भारतीय पाकिस्तान जिंदाबाद बोलेगा वोइसी तरहा ठुकेगा – अब इस पुलिस के लिए भी बोल दीजिये जय हिंद।”  The video description claimed that the police,which were there to maintain the security, lathicharged Congress leaders for chanting‘Pakistan Zindabad’ at a party meeting in Bilaspur.",real,Anjali Mishra
"Claim  A postshared on Facebook by a user named Sumant Bhattacharya captions:  Do not ignore this warning by UP Police.Maintain brotherhood among people. The post also shows an image which statesthat UP Police has issued a warning that if some people come to your house andoffer free tests of sugar or BP, contact the police immediately as these peoplebelong to a terrorist group. They inject AIDS virus in your body throughinjections.  ",fake,Riya Mehta
Claim  The post shared on Facebook by a user named Jai Motiani reads:   The exercise this man is showing has cured and saved thousands from heart blockages….! Now his video has gone viral and thousand of heart patients are searching for this clip. So watch this clip and try this exercise. Some people claimed that their back pain vanished in just 7 days….!   The archived version of the post can be checked  here .  ,real,Meera Chawla
"Claim  The message circulated across social media features a man with his hands tied. The message reads:  This is the guy who added his infected blood to Pepsi. For the next few weeks do not drink Pepsi, as a worker from the company has added his blood contaminated with HIV (AIDS). It was shown yesterday on Sky News. Please forward this message to the people you care.  ",fake,Rahul Kulkarni
Claim  Paytm users have received a text message that reads:  “Dear (paytm) customer your paytm KYC has been suspended PAY-TM office PH 7679046492 A/C will block within 24hr Thank you.”  ,real,Nandini Verma
"Claim  The viral post on Facebook reads:  Dr. Gupta says, No one must die of cancer except out of carelessness; (1). First step is to stop all sugar intake, without sugar in your body, cancer cell would die a natural death. (2). Second step is to blend a whole lemon fruit with a cup of hot water and drink it for about 1-3 months first thing before food and cancer would disappear, research by Maryland College of Medicine says, it’s 1000 times better than chemotherapy. (3). Third step is to drink 3 spoonfuls of organic coconut oil, morning and night and cancer would disappear, you can choose any of the two therapies after avoiding sugar. The viral post is shared by a Facebook page HolisHealth.com.   ",real,Sameer Saxena
Claim:  The viral video claimed that a mixture of two spoons of amla oil and a small amount of coffee powder when applied to hair can convert white hair to black permanently. The video was supported with a caption that claimed that white hair can be permanently turned black from roots by following this remedy.   https://www.facebook.com/RajivDixitOnline/videos/vb.1013952718723375/400739153852565/?type=2&theate,fake,Rahul Menon
Claim  The post shared on Facebook by a user named Md Shahid reads:  The treatment of coronavirus has been found. Scientists have found that consuming the juice of bitter gourd will kill coronavirus in 2 hours.  The name of Bihar Health Department Patna has also been mentioned. The archived version of the post can be checked  here .  ,real,Pooja Trivedi
Claim  A post is getting viral stating that soaking okra ends in water overnight and drinking the water the next day can cure diabetes. The post is getting viral across many social media platforms.    ,real,Neha Fernandes
Claim   A viral video on Instagram shows a blue-colored apple. The video shows a person cutting a piece out of the blue-colored apple grown on a tree.  The claim in the viral video states that the blue apple is made in China. The  archived version  of the post can be seen here.  ,fake,Varun Trivedi
"Claim  The video has been shared by a Facebook user named Harshit Pandey. The text accompanied by the video reads:  This incident happened in Hallet, Kanpur. Lets make them famous. Not sure how many people die due to negligence of such doctors .   So far, thevideo has been shared by 2,094 users and has more than 49,000 views.   ",fake,Varun Trivedi
Claim  A viral post on social media shows the pictures of a woman and some babies. The claim with the photos states that the woman gave birth to 17 babies at once with 29 hours of operations.  The archived version of the post can be seen  here .  ,fake,Sameer Malhotra
Claim:   A photo of a satire piece is going viral on Facebook claiming that AkhileshYadav made a statement blaming NarendraModi for thrashing Yadav bowlers in IPL. The photo is shared by the user named Pradeep Singh Pataara. It was revealed during the investigation that the viral photo is fake.,fake,Neha Iyer
"CLAIM  In the viralvideo, a person can be seen covered in flames, while people around are tryingto douse the fire. The claim is written in Kannada “ಕಣ್ಣೂರು ಏರ್ ಪೋರ್ಟ್ನಲ್ಲಿ ಪವರ್ ಬ್ಯಾಂಕ್ ಅನ್ನುಜೇಬಿನಲ್ಲಿಟ್ಟುಕೊಂಡು ವ್ಯಕ್ತಿಯೊಬ್ಬ ತನ್ನ ಸೆಲ್ ಫೋನ್ ಚಾರ್ಜ್ ಮಾಡುತ್ತಿದ್ದಾಗ ಈ ಅಪಘಾತಸಂಭವಿಸಿದೆ” whichtranslates to English as “The accident occurred when a man was charginghis cellphone at Kannur airport.”",fake,Neha Fernandes
"A videopost was shared on Facebook by a Facebook page Indian Army, in which an armytruck can be seen stuck in loose mud. The video shows an Army truck driverstruggling in mud and finally manages to come out of it.  The text accompanying the video reads,“India Army Sad Video .. The struggles of Indian Army”. ",real,Pooja Iyengar
"Claim:    The post shared on Facebook claims that a medicine named ‘Uni-Sto’ can cure stones in just 4 hours. The post has been shared by the Facebook page ‘ Sardhas ’. The post has 809 reactions, 110 comments, 21k shares.    ",fake,Manav Sharma
"CLAIM  The viral video is 22 seconds long. In the video, a scuffle between police and people can be seen. The video description reads “ Nrc started in assam. They have begun evicting people from their homes, the media does not show it, they are already bought and gagged, so it is our responsibility now to share this video .”   The archived version of the post can be seen  here .",real,Rahul Kulkarni
"Claim  The post shared on Facebook reads: “ THERE WAS NEVER A COVID-19!! READ THIS! CORONAVIRUS IS FAKE! IT WAS A HUGE COVER UP TO ALLOW DEPLOYMENT OF 5G NETWORK TOWERS, WHICH ARE THE REAL CAUSE FOR THE VIRUS DEATH, THEY ARE RELEASING EXTREME AMOUNT OF RADIATION  TO YOUR BODY THROUGH PHONE SIGNAL! THE 5G WILL ALSO GIVE THE GOVERNMENT ACCESS TO YOUR INFORMATION AND LOCATION THROUGH AN R.F.I.D CHIP IN THE VACCINE SAID TO IMMUNIZE YOU, YOU WILL LOSE ALL RIGHTS TO PRIVACY, BANK AND PERSONAL INFO. PLEASE BE AWARE DON’T TAKE THE VACCINE! OUR GOVERNMENTS ARE LYING TO US .” The archived version of the post can be checked  here .  ",fake,Nikhil Khan
"Claim:  The claim in the viral post reads: “ The US doctors admit that HbA1C should be in between 7 to 8 and is normal, this means that if the sugar level is 250 then it is within normal. The mean value of PP and Fasting is 250 then you are no more diabetic .” The claim is accompanied by a screenshot of an interview of a lady.  ",fake,Neha Kaur
"Claim  A post shared on Facebook claims that contraceptive pills contain arsenic which destroys the fertility system within 72 hours. It further states that contraceptive pills cause cancer. The post is shared by a Facebook page Girl’s Safety. It has 93 reactions, 18 comments, and 17 shares.   ",fake,Aisha Sethi
"A post related to diabetes cure resurfaced in social media claiming that diabetes can be cured by consuming sprouted wheat for 3 days. As per the claim, all you need to do is to boil the wheat for 10 minutes and sprout it after boiling.",fake,Manav Iyengar
Claim  A video is shared on Facebook by a user named Vnita Vnita Punjab. The video is shared with a caption that reads: ‘ This video was made by Apollo Hospital’s doctor Harish Shukla during the operation. Our digestion system is not able to digest noodles. That’s why noodles were surgically removed from a patient. Protect your children from noodles. Please watch the video and share it for humanity’s sake .” This is not the first time such video has been shared. The video is viral across social media with different claims.  ,fake,Divya Fernandes
"Team Vishvas(New Delhi)  We received a video on our mail featuring the chief minister of Rajasthan Ashok Gehlot. In the 45 second video, CM could be heard declaring the end of UPA government in the Lok Sabha elections. ",real,Sameer Fernandes
"Claim  The viral post shared on Facebook by a user named Cheryl Robinson reads: “ A friend of mine checked the back of her Clorox wipes and, what do you know, the human coronavirus is listed among the things that these wipes kill. I checked our wipes and, sure enough, it is listed. So my take is, as I suspected, this is no “NEW VIRUS” as the news media wants us to believe .” The post is accompanied by a picture of Clorox with the mention that Clorox kills Human Coronavirus. The archived version of the post can be checked  here .  ",fake,Aman Nair
"Claim:  On May 30, 2019, the Facebook user ‘देवकी नंदन’ posted that from June 1 onwards, the transactions in banks will be done till 6pm. The post read in Hindi: सरकारी बैंक के कर्मचारियों की चर्बी छंटी, एक जून से देश के सभी बैंको में शाम 6 बजे तक होगा लेन देन। न्याय शुरू  ",fake,Varun Agarwal
